id,name,summary,organizer,start_date,url,is_online_event
383933183487,African Diaspora Investment Marketplace: Stakeholder Workshop,Participate in the African Diaspora Investment Marketplace Stakeholder Workshop and Networking Lunch,50122135033,2022-07-21,https://www.eventbrite.co.uk/e/african-diaspora-investment-marketplace-stakeholder-workshop-tickets-383933183487,false
375504111907,Wine & Art,Wine down with the pre-weekend chill,17482188648,2022-07-21,https://www.eventbrite.com/e/wine-art-tickets-375504111907,false
375968571117,SWESBU 2016 OLD STUDENTS DAY RETREAT,SWESBU OLD STUDENTS DAY RETREAT #VaMidzo #YourMind4dey,49442832973,2022-07-23,https://www.eventbrite.com/e/swesbu-2016-old-students-day-retreat-tickets-375968571117,false
379612269517,Brunch with Live music by The Chaffers,Brunch and live music with The Chaffers,17482188648,2022-07-24,https://www.eventbrite.com/e/brunch-with-live-music-by-the-chaffers-tickets-379612269517,false
362966240797,Recycle Up! Ghana Demo Day,Join our 3rd cohort of entrepreneurs  as they pitch their ideas to you!,48807204503,2022-07-23,https://www.eventbrite.com/e/recycle-up-ghana-demo-day-tickets-362966240797,false
372171333477,Pan African Speaker Series #2 : Christian Benimana,The AFI kicks off its 2022 Events Programme with Christian Benimana  who is the second speaker in our Pan-African Speaker Series.,33894323991,2022-07-28,https://www.eventbrite.co.uk/e/pan-african-speaker-series-2-christian-benimana-tickets-372171333477,false
383449025357,dear ife,Join us in person for dear ife; the monologue and memory as performed by poetivist.,50066911153,2022-07-29,https://www.eventbrite.co.uk/e/dear-ife-tickets-383449025357,false
379248441297,Canva for Entrepreneurs,Crack the code of design with this canva crash course  never lose the attention of your customers ever again.,49204778173,2022-07-30,https://www.eventbrite.com/e/canva-for-entrepreneurs-tickets-379248441297,false
381670495727,Accra Fintech Happy Hour,Accra Fintech Happy Hour  is a meetup event to bring together emerging fintech founders as a way of building networks and collaborations,49872066723,2022-07-29,https://www.eventbrite.com/e/accra-fintech-happy-hour-tickets-381670495727,false
387059875507,2022 WEST AFRICA YOUNG LEADERS SUMMIT/ AWARD,WAYLS/A brings together leaders of thought from 15 West African countries to discuss issues of Regional importance while providing solutions,47312020973,2022-07-29,https://www.eventbrite.com/e/2022-west-africa-young-leaders-summit-award-tickets-387059875507,false
382009028287,Free Graphic Design Workshop,Get the opportunity to get 30% off when you enroll in our Graphic Design short course,48875398543,2022-07-22,https://www.eventbrite.com/e/free-graphic-design-workshop-tickets-382009028287,false
378894763437,Accra City Tour.....    Price: $70.00,This tour gives visitors the chance to experience the beauty  historic monuments and the great cultural heritage the city has to offer.,49627849083,2022-07-21,https://www.eventbrite.com/e/accra-city-tour-price-7000-tickets-378894763437,false
